102   -0.94635   [8.32831, -37.6876, -0.538243]
103   -0.946285   [8.23518, -37.7715, -0.459139]
104   -0.943733   [8.37544, -37.7286, -0.464568]
105   -0.944803   [8.28407, -37.8416, -0.467131]
106   -0.946418   [8.39245, -37.9241, -0.420967]
107   -0.944534   [8.37923, -37.8853, -0.283095]
108   -0.94531   [8.50352, -37.8705, -0.21222]
109   -0.947118   [8.5082, -37.762, -0.304385]
110   -0.946527   [8.57969, -37.8767, -0.344537]
111   -0.945351   [8.46036, -37.9024, -0.412193]
112   -0.941445   [8.52848, -37.8633, -0.298508]
113   -0.945458   [8.42503, -37.8511, -0.207724]
114   -0.946302   [8.382, -37.7712, -0.310056]
115   -0.94577   [8.50085, -37.7085, -0.293306]
116   -0.948834   [8.40477, -37.7159, -0.386506]
117   -0.945389   [8.27179, -37.7322, -0.381514]
118   -0.944886   [8.31281, -37.6248, -0.447805]
119   -0.944316   [8.42899, -37.6701, -0.406468]
120   -0.944597   [8.5367, -37.745, -0.39878]
121   -0.947016   [8.51179, -37.8722, -0.376998]
122   -0.946651   [8.49638, -37.7448, -0.398505]
123   -0.945286   [8.56284, -37.769, -0.29089]
124   -0.946866   [8.50448, -37.8694, -0.343652]
125   -0.945992   [8.40711, -37.8585, -0.425242]
126   -0.943693   [8.30853, -37.7807, -0.447471]
127   -0.946345   [8.23061, -37.8486, -0.372793]
128   -0.943882   [8.28504, -37.9562, -0.331395]
129   -0.941104   [8.40361, -37.913, -0.313325]
130   -0.945547   [8.3026, -37.8717, -0.249917]
131   -0.944441   [8.23772, -37.7781, -0.304435]
132   -0.941667   [8.29271, -37.72, -0.208473]
133   -0.944631   [8.19484, -37.6479, -0.231728]
134   -0.942185   [8.11157, -37.5879, -0.300733]
135   -0.94071   [8.19945, -37.6523, -0.356635]
136   -0.944457   [8.21663, -37.6949, -0.470152]
137   -0.9419   [8.24789, -37.6933, -0.353014]
138   -0.944328   [8.29918, -37.5841, -0.340621]
139   -0.944855   [8.31509, -37.5112, -0.245041]
140   -0.947254   [8.32106, -37.6309, -0.238196]
141   -0.947675   [8.33262, -37.5669, -0.33768]
142   -0.945672   [8.34915, -37.5031, -0.240246]
143   -0.945928   [8.38428, -37.4979, -0.351173]
144   -0.942664   [8.33039, -37.57, -0.279086]
145   -0.948138   [8.34342, -37.6844, -0.28554]
146   -0.947084   [8.39618, -37.6762, -0.184646]
147   -0.946725   [8.32505, -37.7295, -0.254419]
148   -0.945134   [8.39074, -37.7242, -0.164005]
149   -0.946661   [8.32179, -37.6586, -0.105177]
